@relation action2

@attribute need1 numeric
@attribute need2 numeric
@attribute need3 numeric
@attribute happiness numeric
@attribute day numeric
@attribute hour numeric
@attribute reward numeric

@data
11,7,7,1,0,3,4
19,3,3,3,0,11,4
16,0,16,3,0,18,4
17,1,17,3,0,21,4
7,7,11,1,0,3,-1000
6,10,10,1,0,4,-1000
6,10,14,1,0,8,-1000
4,12,16,1,0,10,-1000
3,15,15,1,0,11,-1000
11,7,7,1,0,3,4
10,10,6,1,0,4,4
8,12,8,1,0,6,4
7,15,7,1,0,7,4
11,15,7,1,0,11,4
16,16,4,1,0,14,4
23,11,3,3,0,23,4
8,8,12,0,0,2,2
8,8,16,0,0,6,2
3,7,23,1,0,11,2
2,10,22,1,0,12,2
4,12,20,1,0,14,2
5,13,21,1,0,17,2
3,15,23,1,0,19,2
2,18,22,1,0,20,2
21,5,5,0,0,5,5
22,6,6,0,0,8,5
21,9,5,0,0,9,5
22,10,6,0,0,12,5
23,7,7,2,0,19,5
8,8,8,1,0,2,-1000
9,9,9,0,0,1,-1000
7,3,23,1,0,11,-1000
5,1,21,4,0,17,-1000
10,6,6,2,0,4,-1000
20,4,4,2,0,10,-1000
19,7,3,2,0,11,-1000
17,9,1,3,0,13,-1000
9,9,9,0,0,1,4
8,12,8,0,0,2,4
10,10,10,1,0,8,4
23,7,7,1,0,15,4
22,10,6,1,0,16,4
20,8,8,3,0,22,4
15,7,7,0,0,3,-1000
17,9,5,0,0,5,-1000
15,11,3,1,0,7,-1000
19,11,3,1,0,11,-1000
21,13,1,1,0,13,-1000
4,4,8,4,0,6,-1000
2,6,6,5,0,8,-1000
1,9,5,5,0,9,-1000
0,12,4,5,0,10,-1000
8,4,8,3,0,6,7
17,1,5,4,0,13,7
16,0,4,6,0,18,7
13,1,9,6,0,21,7
12,8,8,0,0,2,-1000
7,7,11,2,0,7,-1000
6,10,10,2,0,8,-1000
17,1,13,1,0,9,5
16,4,12,1,0,10,5
16,4,8,3,0,14,5
15,7,7,3,0,15,5
17,5,9,4,0,21,5
9,9,9,0,0,1,-1000
8,12,8,0,0,2,-1000
9,13,9,0,0,5,-1000
8,12,12,1,0,10,-1000
7,15,11,1,0,11,-1000
4,0,12,5,0,10,-1000
9,9,9,0,0,1,2
12,8,8,1,0,6,2
16,8,8,1,0,10,2
25,5,5,2,0,17,2
24,8,4,2,0,18,2
25,9,5,2,0,21,2
4,0,16,4,0,10,-1000
4,0,12,6,0,14,-1000
0,0,8,9,0,18,-1000
12,8,8,0,0,2,-1000
11,3,11,3,0,11,-1000
10,6,10,3,0,12,-1000
8,8,12,3,0,14,-1000
6,10,10,4,0,16,-1000
5,13,9,4,0,17,-1000
4,16,8,4,0,18,-1000
3,19,7,4,0,19,-1000
0,20,4,6,0,22,-1000
9,5,13,1,0,5,6
8,4,16,2,0,10,6
9,5,17,2,0,13,6
8,8,16,2,0,14,6
3,3,19,6,0,23,6
9,9,9,0,0,1,-1000
10,10,6,1,0,4,-1000
20,8,0,2,0,10,-1000
9,9,9,0,0,1,-1000
7,7,11,2,0,7,-1000
10,6,10,1,0,4,4
9,9,9,1,0,5,4
8,12,8,1,0,6,4
8,12,8,2,0,10,4
7,15,7,2,0,11,4
2,14,14,3,0,16,4
1,17,13,3,0,17,4
3,19,11,3,0,19,4
4,20,8,4,0,22,4
8,4,16,1,0,6,7
6,6,14,2,0,8,7
4,8,16,2,0,10,7
10,6,10,4,0,16,7
11,7,7,5,0,19,7
10,10,6,5,0,20,7
8,8,8,1,0,2,3
7,11,7,1,0,3,3
6,14,6,1,0,4,3
3,11,15,2,0,11,3
4,12,16,2,0,14,3
17,9,9,3,0,21,3
22,10,6,3,1,0,3
8,8,12,0,0,2,-1000
5,9,17,0,0,5,-1000
7,11,15,0,0,7,-1000
2,10,18,2,0,12,-1000
14,6,10,0,0,4,10
19,3,7,2,0,11,10
13,1,5,6,0,17,10
14,2,6,6,0,20,10
8,8,8,1,0,2,-1000
4,8,4,4,0,6,-1000
9,9,9,0,0,1,2
8,12,8,0,0,2,2
7,15,7,0,0,3,2
9,17,5,0,0,5,2
6,18,6,1,0,8,2
4,20,8,1,0,10,2
12,20,4,1,0,14,2
11,23,3,1,0,15,2
18,22,2,1,0,20,2
15,23,7,1,0,23,2
11,7,11,0,0,3,1
13,9,9,0,0,5,1
12,12,8,0,0,6,1
13,13,9,0,0,9,1
12,16,8,0,0,10,1
10,18,10,0,0,12,1
10,18,10,1,0,16,1
